ts,quote,src,symbol,latest,best_buy,best_sell,volume_src,day_change
2025-12-12T11:14:09.388242+00:00,usdt,doge,doge-usdt,0.1406867,0.1409,0.1410294,1861490.002224532,1.4
2025-12-12T11:14:09.388242+00:00,usdt,ada,ada-usdt,0.4256,0.4256,0.4264,589662.9881073633,0.38
2025-12-12T11:14:09.388242+00:00,usdt,sol,sol-usdt,137.98,137.98,138.0,5833.7290015311,5.13
2025-12-12T11:14:09.388242+00:00,usdt,ton,ton-usdt,1.638,1.639,1.641,20511.8040643702,2.38
2025-12-12T11:34:26.245048+00:00,usdt,btc,btc-usdt,92300.0,92300.0,92399.35,10.5335404487,2.05
2025-12-12T11:34:26.245048+00:00,usdt,eth,eth-usdt,3235.0,3235.06,3242.01,316.130702919,1.1
2025-12-12T11:34:26.245048+00:00,usdt,xrp,xrp-usdt,2.04,2.04,2.0428,167035.5069993501,1.48
2025-12-12T11:34:26.245048+00:00,usdt,doge,doge-usdt,0.1409,0.140675,0.1409,1791244.315224532,2.17
2025-12-12T11:34:26.245048+00:00,usdt,ada,ada-usdt,0.4256,0.4241,0.4259,539240.2098865384,1.48
2025-12-12T11:34:26.245048+00:00,usdt,sol,sol-usdt,138.208,138.208,138.3,5820.6614946311,5.01
2025-12-12T11:34:26.245048+00:00,usdt,ton,ton-usdt,1.645,1.642,1.645,20519.4641191482,2.62
